trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
1;2025-11-04 06:31:55.021;;2025-11-04 06:35:20.021;SELL;25881,75;;25881,75;25876,75;25878,49875;25883,28375;25871,75;25883,2575;25876,75;25890,75;profit;5,0;100,0;True;2025-11-04 06:29:59.021;False
2;2025-11-04 07:08:49.021;;2025-11-04 07:08:50.021;SELL;25782,0;;25782,0;25777,0;25804,0;25803,7675;25772,0;25804,0;25777,0;25791,0;profit;5,0;100,0;True;2025-11-04 07:08:49.021;False
3;2025-11-04 07:13:18.021;;2025-11-04 07:13:40.021;SELL;25774,25;;25774,25;25783,25;25768,77625;25769,385;25764,25;25774,01375;25769,25;25783,25;stop;-9,0;-180,0;True;2025-11-04 07:12:06.021;False
4;2025-11-04 07:12:10.021;;2025-11-04 07:12:11.021;BUY;25754,25;;25754,25;25759,25;25773,73125;25773,68375;25764,25;25774,01375;25759,25;25745,25;profit;5,0;100,0;True;2025-11-04 07:12:06.021;False
5;2025-11-04 07:41:46.021;;2025-11-04 07:43:21.021;SELL;25765,75;;25765,75;25774,75;25757,9775;25763,05;25755,75;25761,38875;25760,75;25774,75;stop;-9,0;-180,0;True;2025-11-04 07:40:15.021;False
6;2025-11-04 14:20:20.021;;2025-11-04 14:20:21.021;BUY;25737,5;;25737,5;25742,5;25733,9925;25734,05;25747,5;25733,9925;25742,5;25728,5;profit;5,0;100,0;True;2025-11-04 14:20:20.021;False
7;2025-11-04 15:25:41.021;;2025-11-04 15:26:17.021;SELL;25745,75;;25745,75;25740,75;25740,4475;25742,53375;25735,75;25738,6725;25740,75;25754,75;profit;5,0;100,0;True;2025-11-04 15:25:01.021;False
8;2025-11-04 15:27:48.021;;2025-11-04 15:27:49.021;BUY;25725,75;;25725,75;25730,75;25742,41125;25742,3375;25735,75;25738,6725;25730,75;25716,75;profit;5,0;100,0;True;2025-11-04 15:25:01.021;False
9;2025-11-04 15:27:47.021;;2025-11-04 15:27:49.021;BUY;25727,25;;25727,25;25732,25;25742,505;25742,3375;25737,25;25742,9375;25732,25;25718,25;profit;5,0;100,0;True;2025-11-04 15:27:41.021;False
10;2025-11-04 15:28:58.021;;2025-11-04 15:29:07.021;BUY;25732,5;;25732,5;25737,5;25741,12625;25740,57625;25742,5;25741,57;25737,5;25723,5;profit;5,0;100,0;True;2025-11-04 15:28:01.021;False
11;2025-11-04 15:31:32.021;;2025-11-04 15:31:46.021;SELL;25748,0;;25748,0;25743,0;25733,38125;25734,05;25738,0;25739,52625;25743,0;25757,0;profit;5,0;100,0;True;2025-11-04 15:30:01.021;False
